Date,Price
27/9/2024,2668.1
26/9/2024,2682.9
25/9/2024,2673
24/9/2024,2665.2
23/9/2024,2640.9
20/9/2024,2634.6
19/9/2024,2602.9
18/9/2024,2587
17/9/2024,2580.8
16/9/2024,2597.3
13/9/2024,2599.1
12/9/2024,2569.1
11/9/2024,2530.9
10/9/2024,2531.6
9/9/2024,2521.3
6/9/2024,2513.2
5/9/2024,2531.6
4/9/2024,2514.4
3/9/2024,2511.4
30/8/2024,2516
29/8/2024,2547.7
28/8/2024,2514.3
27/8/2024,2529.3
26/8/2024,2531.4
23/8/2024,2522.6
22/8/2024,2493.5
21/8/2024,2524.1
20/8/2024,2527.4
19/8/2024,2518.1
16/8/2024,2514.5
15/8/2024,2469.4
14/8/2024,2457.1
13/8/2024,2484.9
12/8/2024,2480.8
9/8/2024,2450.4
8/8/2024,2440.8
7/8/2024,2410.3
6/8/2024,2409.3
5/8/2024,2422.6
2/8/2024,2447.3
1/8/2024,2457.1
31/7/2024,2449.3
30/7/2024,2428.4
29/7/2024,2390.7
26/7/2024,2393.7
25/7/2024,2366.1
24/7/2024,2428.7
23/7/2024,2420.2
22/7/2024,2407.7
19/7/2024,2412.2
18/7/2024,2469.8
17/7/2024,2473.2
16/7/2024,2481
15/7/2024,2442.1
12/7/2024,2433.8
11/7/2024,2434.9
10/7/2024,2392.5
9/7/2024,2380.5
8/7/2024,2376.2
5/7/2024,2410.2
4/7/2024,2364.6
3/7/2024,2381.9
2/7/2024,2345.6
1/7/2024,2350.8
28/6/2024,2350.9
27/6/2024,2348.7
26/6/2024,2313.2
25/6/2024,2330.8
24/6/2024,2344.4
21/6/2024,2331.2
20/6/2024,2369
19/6/2024,2343
18/6/2024,2346.9
17/6/2024,2329
14/6/2024,2349.1
13/6/2024,2318
12/6/2024,2354.8
11/6/2024,2326.6
10/6/2024,2327
7/6/2024,2325
6/6/2024,2390.9
5/6/2024,2375.5
4/6/2024,2347.4
3/6/2024,2369.3
31/5/2024,2345.8
30/5/2024,2366.5
29/5/2024,2352
28/5/2024,2367.3
27/5/2024,2356.5
24/5/2024,2345.4
23/5/2024,2348.2
22/5/2024,2403.7
21/5/2024,2436.9
20/5/2024,2449.5
17/5/2024,2428.6
16/5/2024,2396.4
15/5/2024,2405.8
14/5/2024,2370.6
13/5/2024,2353.8
10/5/2024,2385.6
9/5/2024,2350.9
8/5/2024,2332.8
7/5/2024,2334.8
6/5/2024,2341.6
3/5/2024,2319.1
2/5/2024,2320
1/5/2024,2321.5
30/4/2024,2313.4
29/4/2024,2370
26/4/2024,2347.2
25/4/2024,2342.5
24/4/2024,2338.4
23/4/2024,2342.1
22/4/2024,2346.4
19/4/2024,2413.8
18/4/2024,2398
17/4/2024,2388.4
16/4/2024,2407.8
15/4/2024,2383
12/4/2024,2374.1
11/4/2024,2372.7
10/4/2024,2348.4
9/4/2024,2362.4
8/4/2024,2351
5/4/2024,2345.4
4/4/2024,2308.5
3/4/2024,2315
2/4/2024,2281.8
1/4/2024,2257.1
28/3/2024,2238.4
27/3/2024,2212.7
26/3/2024,2187.8
25/3/2024,2186.8
22/3/2024,2170.2
21/3/2024,2195
20/3/2024,2171
19/3/2024,2169.8
18/3/2024,2174.5
15/3/2024,2171.6
14/3/2024,2177.8
13/3/2024,2191.1
12/3/2024,2176.5
11/3/2024,2198.8
8/3/2024,2195.3
7/3/2024,2175
6/3/2024,2168
5/3/2024,2151.8
4/3/2024,2136.2
1/3/2024,2105.5
29/2/2024,2064.4
28/2/2024,2052.4
27/2/2024,2044.1
26/2/2024,2038.9
23/2/2024,2049.4
22/2/2024,2030.7
21/2/2024,2034.3
20/2/2024,2039.8
19/2/2024,2039.8
16/2/2024,2024.1
15/2/2024,2014.9
14/2/2024,2004.3
13/2/2024,2007.2
12/2/2024,2033
9/2/2024,2038.7
8/2/2024,2047.9
7/2/2024,2051.7
6/2/2024,2051.4
5/2/2024,2042.9
2/2/2024,2053.7
1/2/2024,2071.1
31/1/2024,2067.4
30/1/2024,2050.9
29/1/2024,2034.9
26/1/2024,2026.6
25/1/2024,2027.1
24/1/2024,2025.4
23/1/2024,2035.2
22/1/2024,2031.5
19/1/2024,2038.5
18/1/2024,2031.1
17/1/2024,2015.9
16/1/2024,2039.7
15/1/2024,2030.2
12/1/2024,2061.1
11/1/2024,2028.9
10/1/2024,2037.5
9/1/2024,2042.7
8/1/2024,2043.2
5/1/2024,2059.7
4/1/2024,2059.6
3/1/2024,2052.5
2/1/2024,2083
